Regions,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,TOTAL
Florida,1204,3718,3762,3772,3752,3220,3009,3461,3523,3182,3134,35737
Central Region,346,2372,2261,2500,2833,2066,1908,2198,2497,2302,2091,23374
Northeast Region,188,1566,1360,1675,1426,1457,1303,1305,1701,1558,1478,15017
Northwest Region,128,2270,2585,2505,2947,2862,2778,2090,2268,1974,2170,24577
Southeast Region,190,986,1162,1423,1432,1953,1414,1154,1315,1034,950,13013
Southern Region,49,4544,5169,5230,4991,4234,3745,4500,4505,4005,3760,44732
Suncoast Region,303,971,768,1011,884,1001,757,754,1141,865,816,9271
Circuit 01,76,286,227,242,207,173,203,208,263,237,269,2391
Circuit 02,25,262,312,321,315,221,213,234,221,209,156,2489
Circuit 03,6,866,871,831,1005,865,753,863,969,855,874,8758
Circuit 04,89,1036,1105,1151,1110,833,988,1017,972,796,976,10073
Circuit 05,94,1368,1565,1502,1516,1330,1314,1728,1628,1548,1349,14942
Circuit 06,108,875,702,903,1021,576,551,729,847,845,708,7865
Circuit 07,75,369,376,445,492,404,391,372,460,393,353,4130
Circuit 08,18,1031,891,875,927,851,725,878,1048,985,951,9180
Circuit 09,100,873,908,960,887,788,735,907,875,838,662,8533
Circuit 10,68,931,1117,1360,1378,1884,1337,1117,1259,987,896,12334
Circuit 11,46,701,791,831,883,601,410,555,786,621,535,6760
Circuit 12,43,1439,1645,1820,1655,1373,1306,1486,1430,1290,1145,14632
Circuit 13,90,309,365,422,335,283,343,343,297,456,393,3636
Circuit 14,27,825,687,767,963,953,1020,624,741,553,801,7961
Circuit 15,74,55,45,63,54,69,77,37,56,47,54,631
Circuit 16,3,967,1289,1234,1514,1417,1305,1048,997,951,917,11642
Circuit 17,66,778,858,786,828,748,561,659,628,563,545,7020
Circuit 18,84,478,609,504,470,492,453,418,530,470,452,4960
Circuit 19,50,1036,1168,1077,937,930,715,731,661,546,731,8582
Circuit 20,62,595,592,664,542,456,546,551,560,693,662,5923
Big Bend CBC,52,494,573,523,487,514,399,518,435,338,352,4685
Brevard Family Partnership,78,967,1289,1234,1514,1417,1305,1048,997,951,917,11717
ChildNet-Broward,66,825,687,767,963,953,1020,624,741,553,801,8000
ChildNet-Palm Beach,74,1036,1168,1077,937,930,715,731,661,546,731,8606
Childrens Network of SW Florida,62,478,609,504,470,492,453,418,530,470,452,4938
Communities Connected for Kids,50,1315,1176,1138,1268,1085,887,1019,1241,1210,1144,11533
